VERSION 20070824
PCIDEV 0000 80861237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0008 80867000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0009 80867010 0 1f0 3f6 170 376 c041 0 0 8 0 8 0 10 0 0 ata_piix
PCIDEV 000b 80867113 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0010 1af41050 a fe000008 0 fe80000c 0 febb0000 0 c0002 800000 0 4000 0 1000 0 20000 virtio-pci
PCIDEV 0018 8086100e b feb80000 c001 0 0 0 0 feb00000 20000 40 0 0 0 0 80000 e1000
MAP 115.951724 6 0x140000000 0xffff888140000000 0xffe00000 0x0 0
W 4 117.016178 6 0x14c2400a0 0x4c0fc3 0x0 0
W 4 117.016181 6 0x14c2400a8 0x4c0fc3 0x0 0
W 4 117.016183 6 0x14c2400b0 0x4c0fc3 0x0 0
W 4 117.016186 6 0x14c2400b8 0x4c0fc3 0x0 0
W 4 117.016189 6 0x14c2400c0 0x4c0fc3 0x0 0
W 4 117.016191 6 0x14c2400c8 0x4c0fc3 0x0 0
W 4 117.016194 6 0x14c2400d0 0x4c0fc3 0x0 0
W 4 117.016197 6 0x14c2400d8 0x4c0fc3 0x0 0
W 4 117.016199 6 0x14c2400e0 0x4c0fc3 0x0 0
W 4 117.016202 6 0x14c2400e8 0x4c0fc3 0x0 0
W 4 117.016205 6 0x14c2400f0 0x4c0fc3 0x0 0
W 4 117.016207 6 0x14c2400f8 0x4c0fc3 0x0 0
W 4 117.016210 6 0x14c240100 0x4c0fc3 0x0 0
W 4 117.016213 6 0x14c240108 0x4c0fc3 0x0 0
W 4 117.016216 6 0x14c240110 0x4c0fc3 0x0 0
W 4 117.016218 6 0x14c240118 0x4c0fc3 0x0 0
W 4 117.016221 6 0x14c240120 0x4c0fc3 0x0 0
W 4 117.016224 6 0x14c240128 0x4c0fc3 0x0 0
W 4 117.016226 6 0x14c240130 0x4c0fc3 0x0 0
W 4 117.016229 6 0x14c240138 0x4c0fc3 0x0 0
W 4 117.016232 6 0x14c240140 0x4c0fc3 0x0 0
W 4 117.016234 6 0x14c240148 0x4c0fc3 0x0 0
W 4 117.016237 6 0x14c240150 0x4c0fc3 0x0 0
W 4 117.016240 6 0x14c240158 0x4c0fc3 0x0 0
W 4 117.016243 6 0x14c240160 0x4c0fc3 0x0 0
W 4 117.016245 6 0x14c240168 0x4c0fc3 0x0 0
W 4 117.016248 6 0x14c240170 0x4c0fc3 0x0 0
W 4 117.016251 6 0x14c240178 0x4c0fc3 0x0 0
W 4 117.016253 6 0x14c240180 0x4c0fc3 0x0 0
W 4 117.016256 6 0x14c240188 0x4c0fc3 0x0 0
W 4 117.016259 6 0x14c240190 0x4c0fc3 0x0 0
W 4 117.016262 6 0x14c240198 0x4c0fc3 0x0 0
W 4 117.016264 6 0x14c2401a0 0x4c0fc3 0x0 0
W 4 117.016267 6 0x14c2401a8 0x4c0fc3 0x0 0
W 4 117.016271 6 0x14c2401b0 0x4c0fc3 0x0 0
W 4 117.016283 6 0x14c2401b8 0x4c0fc3 0x0 0
