timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
502052761,5021559,0,0,517113,10271372,0,0,0,4136904,0,0,516645,0,468,0,7,0,8438,0,6498214,0,385916,4034367,5900333,279754568,190127669,0,0,0,251396,470
508748640,5017585,0,0,512000,10305690,0,0,0,4096000,0,0,512000,0,0,0,0,0,27476,0,3530153,0,329931,4883255,3304332,283424584,192593746,0,0,0,251420,2
515447183,5022933,0,0,498775,10177648,0,0,0,3990200,0,0,488448,0,10327,0,2985,0,37017,0,2906856,0,350580,5732768,665765,287020872,194994148,0,0,0,245243,10329
522137613,5015151,0,0,521943,10268590,0,0,0,4175544,0,0,502831,0,19112,0,2345,0,50370,0,840735,0,391962,10314183,4962867,290778624,197536588,0,0,0,257595,19113
528842228,5027078,0,0,516089,10128288,0,0,0,4128712,0,0,515621,0,468,0,2055,0,40797,0,3554549,6,262703,7040528,5880601,294456832,200018178,0,0,0,255529,470
535533171,5016416,0,0,514048,10203936,0,0,0,4112384,0,0,514048,0,0,0,0,0,40318,0,6183189,0,267053,6563374,495659,298102272,202459608,0,0,0,248341,1
542224044,5013754,0,0,514018,10193470,0,0,0,4112144,0,0,512098,0,1920,0,2078,0,47729,12,6967902,0,332501,2158236,554562,301703568,204947301,0,0,0,257599,1922
548926305,5024012,0,0,518905,10173472,0,0,0,4151240,0,0,501933,0,16972,0,263,0,35969,0,4707376,0,326060,5626707,3510391,305414544,207459564,0,0,0,257571,16971
555625124,5021518,0,0,520192,10262764,0,0,0,4161536,0,0,520192,0,0,0,2048,0,45550,0,2945473,0,331379,5358189,5878997,309117328,209976725,0,0,0,258596,2
562350243,5035129,0,0,369664,17267402,0,0,0,2957312,0,0,369664,0,0,0,0,0,30186,261376,859913,17573080,170191,7305610,5863745,312770432,212463027,0,0,0,255505,2
569037860,5014576,0,0,518710,10439378,0,0,0,4149680,0,0,506523,0,12187,0,458,0,42165,0,3485203,16,206178,8343110,5884670,315862776,214824099,0,0,0,257568,12188
575736821,5022561,0,0,509952,10143622,0,0,0,4079616,0,0,509952,0,0,0,0,0,32641,0,4149795,13,262227,6903666,4554096,319491336,217316552,0,0,0,257561,2
582434785,5019725,0,0,514028,10225516,0,0,0,4112224,0,0,512748,0,1280,0,20,0,21699,0,4340864,4,388066,10289025,399270,323300456,219843051,0,0,0,255541,1282
589129450,5023269,0,0,513982,10385158,0,0,0,4111856,0,0,509723,0,4259,0,2114,0,33111,0,3654199,0,411403,8524186,566923,327101544,222324609,0,0,0,250397,4260
595823889,5019856,0,0,495601,10230366,0,0,0,3964808,0,0,494602,0,999,0,2063,0,59838,0,3607742,0,418658,4509344,2182699,330845288,224804916,0,0,0,252398,999
602510928,5016280,0,0,515874,10220330,0,0,0,4126992,0,0,501607,0,14267,0,222,0,44002,0,4418430,10,215178,1134705,5839979,334701944,227349118,0,0,0,254505,14269
