timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
925292694,7001371,0,0,907436,104994,0,0,0,7259488,0,0,902038,0,5398,0,2132,0,114108,0,0,0,0,0,0,967939312,0,0,0,0,0,5402
935293220,7000322,0,0,913152,0,0,0,0,7305216,0,0,913152,0,0,0,2048,0,114147,0,0,0,0,0,0,978404592,0,0,0,0,0,3
945296132,7002100,0,0,881505,200794,0,0,0,7052040,0,0,871290,0,10215,0,2207,0,111471,0,0,0,0,0,0,988544408,0,0,0,0,0,10218
955298557,7001635,0,0,933888,0,0,0,0,7471104,0,0,933888,0,0,0,4096,0,116739,0,0,0,0,0,0,999271832,0,0,0,0,0,4
965301313,7000868,0,0,925406,43250,0,0,0,7403248,0,0,923226,0,2180,0,4130,0,115951,0,0,0,0,0,0,1009880200,0,0,0,0,0,2182
975301836,7000237,0,0,918491,47214,0,0,0,7347928,0,0,916071,0,2420,0,37,0,115117,0,0,0,0,0,0,1020455776,0,0,0,0,0,2424
985303785,7000563,0,0,920259,75940,0,0,0,7362072,0,0,916349,0,3910,0,2109,0,115527,0,0,0,0,0,0,1031098744,0,0,0,0,0,3913
995306433,7001049,0,0,922324,55922,0,0,0,7378592,0,0,919453,0,2871,0,4140,0,115654,0,0,0,0,0,0,1041836056,0,0,0,0,0,2874
1005307952,7000737,0,0,912896,0,0,0,0,7303168,0,0,912896,0,0,0,4096,0,114113,0,0,0,0,0,0,1052459032,0,0,0,0,0,3
1015310578,7001813,0,0,916992,0,0,0,0,7335936,0,0,916992,0,0,0,2048,0,114629,0,0,0,0,0,0,1063125016,0,0,0,0,0,3
1025311850,7001201,0,0,933632,0,0,0,0,7469056,0,0,933632,0,0,0,4096,0,116709,0,0,0,0,0,0,1073739248,0,0,0,0,0,4
1035316690,7000063,0,0,915950,25198,0,0,0,7327600,0,0,914760,0,1190,0,2066,0,114648,0,0,0,0,0,0,1084304544,0,0,0,0,0,1194
1045319988,7002086,0,0,916344,169922,0,0,0,7330752,0,0,907608,0,8736,0,136,0,115637,0,0,0,0,0,0,1094760544,0,0,0,0,0,8740
1055322433,7001313,0,0,923828,96178,0,0,0,7390624,0,0,918909,0,4919,0,2124,0,116096,0,0,0,0,0,0,1105450496,0,0,0,0,0,4922
1065322726,7000121,0,0,901317,74554,0,0,0,7210536,0,0,897490,0,3827,0,4155,0,113147,0,0,0,0,0,0,1115935784,0,0,0,0,0,3831
1075324255,7000831,0,0,894225,0,0,0,0,7153800,0,0,894225,0,0,0,3567,0,111781,0,0,0,0,0,0,1126405296,0,0,0,0,0,4
1085325663,7001289,0,0,929280,0,0,0,0,7434240,0,0,929280,0,0,0,2048,0,116165,0,0,0,0,0,0,1137101864,0,0,0,0,0,2
1095327974,7001261,0,0,903290,168496,0,0,0,7226320,0,0,894684,0,8606,0,134,0,113992,0,0,0,0,0,0,1147701240,0,0,0,0,0,8609
1105330489,7002318,0,0,927445,53864,0,0,0,7419560,0,0,924671,0,2774,0,2091,0,116281,0,0,0,0,0,0,1158311584,0,0,0,0,0,2777
1115332497,7001818,0,0,900895,294672,0,0,0,7207160,0,0,886372,0,14523,0,2273,0,114436,0,0,0,0,0,0,1168750488,0,0,0,0,0,14527
1125334526,7001659,0,0,906327,200592,0,0,0,7250616,0,0,896000,0,10327,0,937,0,114588,0,0,0,0,0,0,1179259472,0,0,0,0,0,10331
1135335458,7000711,0,0,932857,9236,0,0,0,7462856,0,0,932389,0,468,0,7,0,116671,0,0,0,0,0,0,1189995032,0,0,0,0,0,471
1145336636,7000431,0,0,893399,383026,0,0,0,7147192,0,0,874287,0,19112,0,2345,0,114073,0,0,0,0,0,0,1200404688,0,0,0,0,0,19115
1155339369,7001209,0,0,900978,162408,0,0,0,7207824,0,0,892635,0,8343,0,398,0,113675,0,0,0,0,0,0,1210911840,0,0,0,0,0,8345
1165340803,7000771,0,0,896233,544410,0,0,0,7169864,0,0,868249,0,27984,0,535,0,115532,0,0,0,0,0,0,1221315496,0,0,0,0,0,27988
1175344508,7002038,0,0,917740,25034,0,0,0,7341920,0,0,916460,0,1280,0,20,0,114883,0,0,0,0,0,0,1231605560,0,0,0,0,0,1284
1185346840,7001159,0,0,899618,277886,0,0,0,7196944,0,0,885351,0,14267,0,2270,0,114239,0,0,0,0,0,0,1242056776,0,0,0,0,0,14270
1195349006,7001579,0,0,919346,262984,0,0,0,7354768,0,0,905890,0,13456,0,2510,0,116603,0,0,0,0,0,0,1252749784,0,0,0,0,0,13460
1205349795,7000100,0,0,906297,250414,0,0,0,7250376,0,0,893406,0,12891,0,2247,0,114902,0,0,0,0,0,0,1263334304,0,0,0,0,0,12895
1215352771,7001576,0,0,915196,5438,0,0,0,7321568,0,0,914914,0,282,0,2052,0,114442,0,0,0,0,0,0,1274020736,0,0,0,0,0,286
1225356152,7000893,0,0,914176,0,0,0,0,7313408,0,0,914176,0,0,0,2048,0,114276,0,0,0,0,0,0,1284401488,0,0,0,0,0,4
1235359137,7000684,0,0,917889,167528,0,0,0,7343112,0,0,909730,0,8159,0,127,0,115759,0,0,0,0,0,0,1294483464,0,0,0,0,0,8161
1245361907,7001334,0,0,913152,0,0,0,0,7305216,0,0,913152,0,0,0,2048,0,114151,0,0,0,0,0,0,1304869928,0,0,0,0,0,2
